id,JobTitle,CompanyName,JobRequirements,JobCategory,Location,Link
72,Malware Research Team Leader,Cyberark,"About CyberArk:                                                                                                      
CyberArk (NASDAQ: CYBR), the global leader in Identity Security, Centered on privileged access management, CyberArk provides the most comprehensive security offering for any identity – human or machine – across business applications, distributed workforces, hybrid cloud workloads and throughout the DevOps lifecycle. The world’s leading organizations trust CyberArk to help secure their most critical assets. 
  Job Description:
The malware research team leader @ CyberArk Labs is a key player in shaping the Labs defensive malware research, malware hunting projects, and threat intel operations. The role is perfect for an experienced malware researcher who has deep technical skills, verbal skills, and the curiosity to learn a lot more about malware research and threat intelligence.
The team leader overlooks multiple malware research/threat intelligence projects and guides the research based on his / her technical expertise and the team's goals and objectives.
  Responsibilities:
Team management - directly managing malware researchers and research projects.
Malware research - leading malware research vectors; extracting and driving technical detection and mitigation insights into CyberArk products.
Working together with R&D and product management to shape CyberArk's future features and products.
Writing and reviewing technical articles and presenting new research work at security conferences.
  Requirements:
Previous experience as a team leader 
6 + years of experience in information security, threat intelligence, and malware research.
In-depth knowledge of the inner-workings of operating systems, enterprise-level applications.
In-depth knowledge of malware techniques and threat groups activity.
Experience in reverse engineering.
Experience with disassemblers/debuggers (x64dbg, WinDbg, IDA Pro, Ghidra, r2).
  An Advantage:
Previously published malware related blog posts or articles covering research work.
  To learn more about CyberArk, visit https://www.cyberark.com, read the CyberArk blogs or follow on Twitter via @CyberArk, LinkedIn or Facebook.
   ",  R&D,"Petach Tikva, Israel",https://careers.cyberark.com/job/Cyber-Research-Team-leader/602179501/
73,Cloud&DevOps Engineer,Cyberark,"About CyberArk:
CyberArk, the global leader in privileged access management, helps organizations transform their business through improved security and reduced risk. As a trusted partner for thousands of companies around the world, CyberArk consistently sets the bar – driving innovation and helping our customers stay one step ahead of attackers.
  Responsibilities:
As a Cloud Deployment engineer in CyberArk's R&D department, you will be hands-on responsible for building and maintaining the Cloud Deployment infrastructure and artifacts of our core products.
You will design and develop the different cloud deployment for different cloud providers like AWS, GCP and Azure.
  Part of an R&D agile team
Responsible for building the Cloud deployment infrastructure of CyberArk core products.
Design and manage DevOps Configuration Management & CI/CD Services
Produce quality products that meet high security, stability and performance standards
  Required skills:
Bachelor’s Degree in Computer Science or related field
Strong ability to use new technologies and understand them in depth through rapid self-learning
Excellent design, analytical and strong troubleshooting ability
Proactive by nature; internal drive for excellence and improvement
Great interpersonal relations, open and communicative team player while also having the ability to work alone
Original thinker, creative, open minded
Strong ability to share experience with and from others
Fluent in English, good writing skills.
       Knowledge in the following areas – Mandatory:
Experience with CI tools and source control management tools (Git & Git-Hub, Jenkins, Artifactory, etc.).
At least 3 years’ experience in hands-on Cloud development and deployment
Proven knowledge in at least two of the following cloud environments: GCP\Azure\AWS
Design, create, deliver and support the deployment using Ansible
  Knowledge in one or more of the following areas – Advantage:
Design, create, deliver and support deployment using Terraform 
Experience with Python
Administration experience with Windows and Linux/Unix platforms
Experience with open-source projects
Security principles and techniques (encryption, authentication protocols)
Experience with Containers and Orchestration tools, such as Docker, OpenShift and Kubernetes",  R&D,"Petach Tikva, Israel",https://careers.cyberark.com/job/Petach-Tikva-Cloud-Deployment-Engineer/641730401/
74,Enterprise Support Engineer,Cyberark,"About CyberArk:
CyberArk is the global leader in privileged access security, a critical layer of IT security to protect data, infrastructure and assets across the enterprise, in the cloud and throughout the DevOps pipeline. CyberArk delivers the industry’s most complete solution to reduce risk created by privileged credentials and secrets. The company is trusted by the world’s leading organizations, including more than 50 percent of the Fortune 100, to protect against external attackers and malicious insiders.
  Job Description:
CyberArk Enterprise Support Engineers provide front-line technical support for the company’s worldwide enterprise customers and partners. They support CyberArk product line of IT Security and Privileged Identity Management solutions, and resolve the customer’s technical problems by interacting with them via web, phone, and email.
  With CyberArk being a market leading, innovative software company, the Enterprise Support Engineers are working to learn, develop, and progress within the IT Security world and CyberArk’s global enterprise customers.
The CyberArk Enterprise Support Engineers resolve customer technical issues through diligent research, reproduction and troubleshooting utilizing all the knowledge they have acquired, and direct access to R&D.  They have an eagerness to learn new technologies, take on new challenges, and drive key initiatives with the view to ensure the long-term success of CyberArk’s customers and the company.
CyberArk’s Enterprise Support Engineers have excellent communication skills, and as well as supporting CyberArk’s customers, look to support their colleagues and peers throughout the organization.
  Responsibilities:
Respond to customer inquiries and technical problems through web portal, live sessions, and telephone.
Address customer business needs and technical issues through diligent research, reproduction, and troubleshooting while applying acquired knowledge.
Document all technical inquiries. Develop and review content for knowledge sharing for both internal purposes and customer facing platforms.
Work directly with other global support colleagues, security services, sales, operations, and administration to ensure the long-term success of our customers and the company.
Participate in on-call rotation to provide 24/7 support for CyberArk's customers
Work directly with R&D teams
  Requirements and Skills:
At least 3 years’ experience in Technical Support or a position of similar nature in a software company.
Capable of understanding the technical aspects of a complex system.
Strong technical troubleshooting skills and problem solving. Demonstrates the ability to think through situations outside the norm and develop appropriate solutions for isolating the root cause.
Must have excellent communication skills and a passion for providing world-class service.
Experience of directly supporting enterprise-level customers.
Ability and desire to learn products and technologies.
Must be able to work independently as well as with others, as part of a domestic and international team.
Proven experience with Microsoft operating systems.
Excellent time management, decision making, prioritization and organization skills.
All communication, internal and external require high level of English.
    An Advantage:
Familiarity with Cyberark products
Familiarity with Devops/SRE tools or methodologies.
Experience working with Linux or Unix Operating Systems.
Programming\Scripting languages.
Networks, Firewalls, Proxy servers, Sniffers, Web servers and Web applications.
Authentication methods (RSA Securid, Smart cards, Tokens, Radius, LDAP).
Experience of single sign on solutions (e.g. Shibboleth, ADFS).
Experience in Windows Clustering, Network Load Balancing, SAN technologies and disaster recovery.
Experience working directly with development.",  Technical Support,"Petach Tikva, Israel",https://careers.cyberark.com/job/Petach-Tikva-Enterprise-Support-Engineer/649083901/
75,Product Operations Business Analyst,Cyberark,"About CyberArk:
CyberArk, the global leader in privileged access management, helps organizations transform their business through improved security and reduced risk. As a trusted partner for thousands of companies around the world, CyberArk consistently sets the bar – driving innovation and helping our customers stay one step ahead of attackers.
  Job Description:
  This role will reside within the Company’s R&D and PM Operations Organization and will participate in Strategic Business decision making.
Develop and maintain the company’s Product Portfolio from a business financial POV including cost accounting.
Develop and maintain Workforce and planning metrics and KPI’s.
Analyze current and past trends in Product Org. key performance indicators
Oversee and manage the continued development of Modeling tools and analysis methods
Develop financial models and analyses to support strategic initiatives
Analyze complex financial information and reports to provide accurate and timely financial recommendations to management for decision making purposes
Supporting departments with analysis
Prepare financial presentation
Ad-Hoc Reporting and Analysis
  Requirements:
  Bachelor's Degree in Economics (C.P.A is an advantage)
4 years of related experience including budgeting, forecasting, and financial statement analysis
Strong Microsoft Office capabilities (excel in particular)
Knowledge in R&D processes (advantage)
SaaS knowledge and KPI’s
Knowledge in financial and reporting business systems  
Ability to work well independently and as part of a cross-functional team with a particular focus on the ability to set priorities that correspond with business needs
Highest standards of accuracy and precision; highly organized
Ability to think creatively, highly driven and self-motivated
English at a high level",  R&D,"Petch Tikva, Israel",https://careers.cyberark.com/job/Petch-Tikva-Product-Operations-Business-Analyst/656811101/
76,UI Designer,Cyberark,"About CyberArk:
CyberArk, the global leader in privileged access management, helps organizations transform their business through improved security and reduced risk. As a trusted partner for thousands of companies around the world, CyberArk consistently sets the bar – driving innovation and helping our customers stay one step ahead of attackers.
  Job Description:
CyberArk, a fast-growing leader in the information security field, is looking for a talented and experienced senior UI designer.
  Responsibilities:
Taking a complete design ownership over one of Cyberark’s many products
Working closely with UXs PMs and R&D to bring a preliminary UX wireframes to a perfectly designed product
Working as a team member in a mixed (UX/UI) group
Taking responsibility over cross UX/UI group projects  
  Requirements and Skills:
Senior UI designer with over 5 years of experience
Experience in working for large organizations specialized in complex operational B2B systems
Expertise in standard UI design tools such as Figma, Sketch, Adobe.
Knowledge and experience in working with design infrastructure and components libraries
Updated portfolio  
Knowledge in UX process (an advantage)  
Relevant academic qualifications or equivalent
Fluent English",  R&D,"Petach Tikva, Israel",https://careers.cyberark.com/job/Petach-Tikva-UI-Designer/654124001/
77,QA Architect,Cyberark,"About CyberArk:
CyberArk, the global leader in privileged access management, helps organizations transform their business through improved security and reduced risk. As a trusted partner for thousands of companies around the world, CyberArk consistently sets the bar – driving innovation and helping our customers stay one step ahead of attackers.
  Job Description:
As a senior QA professional in the team, the QA Architect is committed for the quality of the release content, and push towards better quality and higher confidence
Actively track the team’s tasks, analyze the testing needs and define QA activities and ownership
Plan, define and execute tests as part of the team’s QA related activities
Analyze and challenge exists testing coverage (manual and automatic tests) and test-plans to decide what steps are needed to increase release confidence
Monitor the test and production environments, using DevOps tools
Contribute to the team’s automation coverage (stability, maintenance, quality etc.)
Operate in a very rich environment of technologically and logically complex systems and products
Be familiar with every step of the SDLC and the QA responsibility in each step, and take an active role in process inspection and improvement
Reports to R&D Team Leader 
  Requirements and Skills:
At least 3 years of experience in QA positions
Wide perspective of complex product solutions (business, technical, architecture)
Experience in test design and execution for complex systems (manual and automatic)
Deep understanding of QA methodologies
Comprehensive experience working in an Agile development process
Fluent English
  Soft skills:
Excellent time management
Proactive by nature; internal drive for excellence and improvement
Team player
Ability to work alone
  An Advantage:
Security testing background
Hands-on experience with automated testing tools
Experience with AWS
Experience with SDLC of SaaS products
Knowledge of SQL",  R&D,"Petach Tikva, Israel",https://careers.cyberark.com/job/Petach-Tikva-QA-Architect/650244601/
78,Assistant Controller - Revenue recognition,Cyberark,"About CyberArk:
CyberArk, the global leader in privileged access management, helps organizations transform their business through improved security and reduced risk. As a trusted partner for thousands of companies around the world, CyberArk consistently sets the bar – driving innovation and helping our customers stay one step ahead of attackers.
  Job Description:
Participating in monthly and quarterly revenue recognition closing.
Preparing quarterly revenue analysis reports.
Analyze and review contracts, transactions, and new business models in order to insure compliant revenue accounting, and collaborate with Legal and Sales departments.
Ensure that company revenue and policy are compliant with the US GAAP.
Assist with Revenue controls and sox compliance.
Major duties and responsibilities:
Verify accuracy of revenue data and revise errors.
Resolve discrepancies in revenue records.
Interact with staff, management and other departments to answer questions, obtain information, and resolve issues.
  Requirements and Skills:
Certified Public Accountant.
2-3 years of experience in one of the Big4.
Experience with public software companies audit - an advantage.
Experience in revenue recognition according to US GAAP.
Experience with SOX compliance- an advantage.
Highest standards of accuracy and precision; highly organized.
Outstanding attention to details and excellent time management skills.
Very strong analytical skills.
This position requires excellent interpersonal skills and excellent communication skills.
Excellent English (written and verbal).
Service oriented.",  Finance,"Petach Tikva, Israel",https://careers.cyberark.com/job/Petach-Tikva-Assistant-Controller-Revenue-recognition-%28Recruiter-Shira-Rottensterich-shitrit%29/652649001/
79,Senior DevOps Engineer,Cyberark,"About CyberArk:
CyberArk, the global leader in privileged access management, helps organisations transform their business through improved security and reduced risk. As a trusted partner for thousands of companies around the world, CyberArk consistently sets the bar – driving innovation and helping our customers stay one step ahead of attackers..
  Job Description:
We are looking for a bright, talented DevOps Engineer to join a team of highly energized and professional engineers working on mission critical systems in the red-hot cybersecurity industry. Focused around development flow productivity, building application infrastructures and tools, with huge challenges related to hyper growth of engineering and application scale.
  Responsibilities:
Design and develop solution-oriented enterprise DevOps tools and platforms
Designing, maintenance and management of tools for automation of different operational processes
Build, run, manage and monitor security aspects of our cloud-based and physical environments
Develop and deployment of systems for metrics, logging, and monitoring
Evaluation of new technology alternatives and vendor products
System troubleshooting and problem resolution across various application domains and platforms
Provision of critical system security by leveraging best practices
  Requirements:
3+ years of hands-on experience working as Software, DevOps or infrastructure developer
Significant development experience with the following: Python, Groovy, Bash, PowerShell
Deep knowledge and experience in cloud infrastructure such as AWS, Azure or Google Cloud 
Experience with Containers and Orchestrators (Docker, Kubernetes, ECS, etc.)
Experience with CI/CD Tools and Configuration Management Systems (e.g. Jenkins, Git, Ansible, Terraform etc.)
Experienced with building the full application release cycle (CI/CD).
Experience in testing methodologies and developing tests (e.g Unit tests, integration tests, system tests)
Experience in creation of highly automated Infrastructures
Knowledge of operating system administration
Excellent design and analytical skills
Creative troubleshooting skills and out-of-the-box thinking
Know your way around the open source community
  Personal skills
Strong communication skills,  Team player
Open minded, Original thinker, Creative
A thorough and methodical approach to any task, ability to plan, conduct, prioritize, track and measure processes
Decision making skills: taking into account both architectural and business considerations, at times with incomplete information
Strong ability to use new technologies and understand them in depth through rapid self-learning
Proactive by nature; internal drive for excellence and improvement
Highly motivated, autonomous
Fluent in English, good writing skills
  Bonus:
BA in Computer Science or MAMRAM graduate
Strong networking foundations (TCP/IP, DNS, Network Protocols, Routing)
Security principles and techniques (encryption, authentication protocols)
Database usage experience and understanding
Programming knowledge in C# or Java
Experience with Agile development and practices
Solution Architect Certificate - a plus",  R&D,"Petach Tikva, Israel",https://careers.cyberark.com/job/Petach-Tikva-Senior-DevOps-Engineer/649616201/
80,Python Automation Engineer,Cyberark,"About CyberArk:
CyberArk, the global leader in privileged access management, helps organizations transform their business through improved security and reduced risk. As a trusted partner for thousands of companies around the world, CyberArk consistently sets the bar – driving innovation and helping our customers stay one step ahead of attackers.
  Jobs description:
As an Automation engineer in CyberArk's innovation department, you will be hands-on responsible for building and maintaining the automation & DevOps infrastructure of our new products.
You will design and develop automation testing infrastructures, scripts and tools as well as productize it (test automation as a product).
Responsible for building the test automation & DevOps infrastructure of CyberArk innovation products integration.
On-going maintaining & improving the automation infrastructure of CyberArk from the technical perspective, in view of our customers high expectations for availability, reliability, and high quality
  Requirements and Skills:
Bachelor’s Degree in Computer Science or related field
Strong understanding of computer programming, software design and development
Strong ability to use new technologies and understand them in depth through rapid self-learning
Excellent design, analytical and strong troubleshooting ability
Proactive by nature; internal drive for excellence and improvement
Great interpersonal relations, open and communicative team player while also having the ability to work alone
Original thinker, creative, open minded
  Required Knowledge in the following areas – Mandatory:
At least 2-3-year experience in hands-on automation testing development (Mostly Python).
DevOps experience.
Operating systems – Linux
Fluent in English, good writing skills.
  An Advantage:
Experience in Continuous Integration and Automation with Jenkins and Git.
Experience in SAAS products test automation (preferably AWS environment).
Experience in container environment (Docker, Kubernetes)
Experience with Agile development process.
 ",  R&D,"Petach Tikva, Israel",https://careers.cyberark.com/job/Petach-Tikva-Python-Automation-Engineer/649636901/
81,R&D Product Owner - Endpoint Privilege Manager,Cyberark,"About CyberArk:                                                                                                      
CyberArk (NASDAQ: CYBR), the global leader in Identity Security, Centered on privileged access management, CyberArk provides the most comprehensive security offering for any identity – human or machine – across business applications, distributed workforces, hybrid cloud workloads and throughout the DevOps lifecycle. The world’s leading organizations trust CyberArk to help secure their most critical assets. 
  Job Description:
CyberArk is looking for an experienced Product Owner (PO) for an Endpoint Privilege Manager service.
CyberArk’s Product Owner (PO), a member of R&D development team responsible for filling the gap between the market requirements as presented by Product Management 
and the solution that determines how to implement these requirements in our products.
Using comprehensive business and technical knowledge, the PO accompanies the entire development process starting from the requirements definitions, planning phase,
through the development and testing process to successful deployment to our Service.
The PO works closely with the Development Team, Product Management, Professional Services and Technical Writers.
  Candidate Qualities
• You are highly motivated by the outcomes your products help create. Seeing customers delighted and succeeding with your products is a great professional pleasure for you.
• You are passionate about creating complete, finished products. A rock-solid ""Definition of Done"" is one of your most trusted tools.
• You thrive when an engineering team is in sync with your vision for how a product experience should materialize. Driving alignment across an engineering team is something you do naturally.
• You work in an agile manner, in all that you do. Pivoting based on new information is something you understand as an inevitability, not something to resist
  Responsibilities:
• Produce valuable content for our customers
• Own the product backlog - Deconstruct large features to smaller pieces, define and prioritize the pieces that can compose a releasable product
• Be the central focal point for all parties outside of R&D department for; how the product works, what the product can do, and how a certain change will affect the product
• Analyze product business requirements and produce a functional design
• Utilize deep knowledge of the product and its use by customers to work hand-in-hand with rest of R&D, explain the requirements and answer any functional questions
  Requirements:
• Innovator by nature. Thinking out of the box.
• Excellent communication and presentation skills
• At least 8 years of experience in the software industry
• 2-3 years of experience as functional analyst/product owner/business analyst/product management, in the software industry. Experience in writing functional designs.
• Proven technical skills and self-learning ability, capable of thoroughly understanding the functional and technical aspects of a complex system
• Proactive, highly motivated individual with a serious work ethic and goal-oriented approach
• BSc in computer-science/engineering, or 3-5 years hands-on experience in software development
• Proven Agile experience 
• Proven management skills 
• SaaS and Endpoint Security experience – an advantage
  To learn more about CyberArk, visit https://www.cyberark.com, read the CyberArk blogs or follow on Twitter via @CyberArk, LinkedIn or Facebook.",  R&D,"Petach Tikva, Israel",https://careers.cyberark.com/job/Petach-Tikva-R&D-Product-Owner-Endpoint-Privilege-Manager/642557301/
82,Cloud Full Stack Engineer (Recruited- Or Shmuel),Cyberark,"About CyberArk:                                                                                                      
CyberArk (NASDAQ: CYBR), the global leader in Identity Security, Centered on privileged access management, CyberArk provides the most comprehensive security offering for any identity – human or machine – across business applications,
distributed workforces, hybrid cloud workloads and throughout the DevOps lifecycle. The world’s leading organizations trust CyberArk to help secure their most critical assets. 
  Job Descriptions:
We are looking for a senior software engineer to join our new elite team which is building one of our strategic products for Cloud Security.
In this role, you will take part in building a new innovative product, and have a huge influence on its design, flows, and technology.
In this role, you must demonstrate high professional skills, fast technology adoption, and the ability to work on multi-cloud environments (AWS, Azure, and GCP).
  Responsibilities:
Practice all software development life cycle in an agile oriented environment.
Explore new technologies and tools to keep us using cutting edge solutions.
Participate in continuous and iterative engineering cycles with an emphasis on code quality, supportability, scalability, and performance.
Lead and own various development efforts in the group.
  Job requirements:
At least 4 years of experience in the software industry (preferred python and/or angular).
Excellent design and analytical skills.
Experience working with continuous integration and continuous deployment pipeline.
Experience and knowledge in Cloud services - AWS, Azure, and GCP (at least one).
Proactive, highly motivated individual with a high work ethic and goal-oriented approach.
Elite alumni graduate or Computer Science degree or similar experience.
Experienced with microservice/event-oriented design and development.
Excellent communication and presentation skills.
    To learn more about CyberArk, visit https://www.cyberark.com, read the CyberArk blogs or follow on Twitter via @CyberArk, LinkedIn or Facebook.",  R&D,"Petah Tikva, Israel",https://careers.cyberark.com/job/Petah-Tikva-Cloud-Full-Stack-Engineer-%28Recruited-Or-Shmuel%29/658396001/
83,Senior IT Specialist,Cyberark,"About CyberArk:
CyberArk, the global leader in privileged access management, helps organizations transform their business through improved security and reduced risk. As a trusted partner for thousands of companies around the world, CyberArk consistently sets the bar – driving innovation and helping our customers stay one step ahead of attackers.
  Job description:
  CyberArk Labs is looking for an IT senior specialist, Team member responsible for the company lab’s infrastructure; in this role you will be responsible to establish and maintain IT infrastructures as well as be a part of an IT innovation & research team and lead strategic projects while ensuring services operation availability and quality. The role requires a professional hands-on capability.
  The role is part of the CyberArk Labs Research + Innovation IT team working tightly with other IT peers, researchers, and developers.
  system expert and architect deploying, maintaining & supporting the Labs network, the DR and cloud infrastructure platforms.
Leading the End Point management domain cross company for both Windows, Linux and Macs.
Leading IT infrastructure projects cross company, Work in tight collaboration with other IT peers to achieve IT objectives. This includes responsibility of deliverables which are part of other domains projects and activities.
Responsible for the service level following the Labs IT KPIs
maintaining & supporting the labs network and tools
knowledge in Private and public clouds, Microsoft, OSX, Linux, Containers, DevOps tools
  Requirements:
5+ years of experience in a similar role in a hi-tech company.
Well experienced with Management & Control products (Manage-Engine, Zabbix etc…)  and Intune management (policies and deployments)
In-depth knowledge and experience of network and security maintain and configure (Cisco, Dell, Checkpoint NGX, NSX)
Well experienced in end-point technologies and engineering. 
Ability to lead wide scale programs and complex projects
In-depth knowledge and experience of IT infrastructure including Servers, Windows, OSX, Linux and Unix based Virtualization, Storage, Networking, Cloud technologies, Office 365, Veeam, VMware suite, NetApp
Knowledge – configure and maintain All cloud base infrastructure vendors aka AWS, Azure, GCP
Knowledge in object-oriented code languages (basic and understanding)
In-depth knowledge and experience of Microsoft IT architecture (Active Directory + PKI)
Information security oriented and strive for well architected infrastructure, familiar with AV & EDR products
Familiar with Atlassian products + slack - advantage
Ability to handle multiple activities at the same time
Strong interpersonal skills & able to develop and maintain effective and credible relationships with business leaders and supplier management
A strong “passion” for technology, proactivity and responsibility.
A team player and Self-learning ability.
 ",  R&D,"Petach Tikva, Israel",https://careers.cyberark.com/job/Petach-Tikva-Senior-IT-Specialist/650913801/
84,R&D DevOps Engineer,Cyberark,"About CyberArk:
CyberArk, the global leader in privileged access management, helps organizations transform their business through improved security and reduced risk. As a trusted partner for thousands of companies around the world, CyberArk consistently sets the bar – driving innovation and helping our customers stay one step ahead of attackers.
  Responsibilities:
As a Cloud Deployment engineer in CyberArk's R&D department, you will be hands-on responsible for building and maintaining the Cloud Deployment infrastructure and artifacts of a new analytics service in a Cyberark security area, enhancing CyberArk’s cloud offering.
You will design and develop the different cloud deployment mainly on AWS.
  Part of an R&D agile team
Responsible for building the Cloud deployment infrastructure of CyberArk core products.
Design and manage DevOps Configuration Management & CI/CD Services
Produce quality products that meet high security, stability and performance standards
  Required skills:
Bachelor’s Degree in Computer Science or related field
Strong ability to use new technologies and understand them in depth through rapid self-learning
Excellent design, analytical and strong troubleshooting ability
Proactive by nature; internal drive for excellence and improvement
Great interpersonal relations, open and communicative team player while also having the ability to work alone
Original thinker, creative, open minded
Strong ability to share experience with and from others
Fluent in English, good writing skills.
       Knowledge in the following areas – Mandatory:
Experience with CI/CD tools and source control management tools (Git & Git-Hub, Jenkins, Artifactory, etc.).
At least 3 years’ experience in hands-on Cloud development and deployment
Proven knowledge in AWS CDK and other AWS managed services
Experience with Containers and Orchestrators (Docker, Kubernetes, ECS, Terraform, etc.)
Design, create, deliver, and support the deployment using Ansible
Excellent script skills (Bash, PowerShell, Groovy or Python)
  Knowledge in one or more of the following areas – Advantage:
Design, create, deliver, and support deployment using Terraform 
Administration experience with Windows and Linux/Unix platforms
Experience with open-source projects
Security principles and techniques (encryption, authentication protocols)
Experience with Containers and Orchestration tools, such as Docker, OpenShift and Kubernetes
 ",  R&D,"Petach Tikva, Israel",https://careers.cyberark.com/job/Petach-Tikva-R&D-DevOps-Engineer/651018201/
85,Senior Software Engineer for Serverless Application (AWS),Cyberark,"About CyberArk:
CyberArk, the global leader in privileged access management, helps organizations transform their business through improved security and reduced risk. As a trusted partner for thousands of companies around the world, CyberArk consistently sets the bar – driving innovation and helping our customers stay one step ahead of attackers.
  Job Descriptions:
CyberArk is looking for a senior software engineer to join our elite team which is responsible for building a platform that serves all CyberArk’s SaaS products. 
In addition to the platform, the team is also responsible for one of CyberArk’s strategic products that enables customers to access their sensitive assets securely.
  In this role you will be using AWS serverless architecture, AWS CDK, Python & GO to design, develop, test, secure & deploy services from planning to production.  
The team works in full collaboration with security architects, product managers and other development teams. Together we produce complex and advanced platform that meet the highest security standards and NFRs.
We are looking forward for energetic and versatile person to join our family and help us achieving our goals.
  Responsibilities:
Practice all software development life cycle in agile oriented environment
Design and implement the infrastructure of the system.
Research and implement sophisticated Cyber security mechanisms
Explore new technologies and tools to keep us using cutting edge solutions
Help guide and contribute to feature design and implementation to bring the product to the next level.
Participate in continuous and iterative engineering cycles with emphasis on code quality, supportability, scalability and performance.
   Requirements and Skills:
Bachelor’s Degree in Computer Science or Engineering related field / technology Elite unit alumni with relevant experience
5+ years of experience in Python/Go/ Node/Ruby/Java/C#/C++ (Python is a definite advantage)
Desire to use new technologies and understand them in depth
Passionate about code design, high-quality code and code reviews, optimizing and challenging the status quo.
Proactive by nature; internal drive for excellence and improvement
Good communication skills, fluent in English, good writing skills
  Advantage:
Experience in enterprise scale application development in cloud/SaaS environment (AWS serverless architecture is a definite advantage)
Experience with AWS/CDK/Python 
Solid understanding of security and networking implementation and best practices.
Experienced with micro service/event-oriented design and development
Experienced with modern CI/CD tools, in particular GitHub, Jenkins and Artifactory
Experience with Containers and Orchestration tools, such as Docker, OpenShift and Kubernetes
 ",  R&D,"Petach Tikva, Israel",https://careers.cyberark.com/job/Petach-Tikva-Senior-Python-Engineer/640331301/
86,R&D Security Architect,Cyberark,"About CyberArk:                                                                                                       
CyberArk (NASDAQ: CYBR), the global leader in Identity Security, Centered on privileged access management, CyberArk provides the most comprehensive security offering for any identity – human or machine – across business applications, distributed workforces, hybrid cloud workloads and throughout the DevOps lifecycle. The world’s leading organizations trust CyberArk to help secure their most critical assets. 
  Job Description:
Own, manage and lead Threat Modeling and Security Standards workshops
Initiate and participate in code reviews, design reviews, etc.
Prepare and deliver trainings and security awareness activities to the development teams and to other security architects
Make sure everyone in the group are involved in security and have knowledge on the security aspects of the product
Set the right security mindset to all the people and stakeholders of their groups
Mentor new security architects
Contribute to CyberArk’s secure-development guidelines and standards
Manage security tools, train and help the developers on using those tools and reports
Conduct and train others on white-box security testing
Own and manage the hiring of external/internal pen-testing services
Become a company security expert in one or more technology domains (i.e. Kernel, Web, SaaS, C++, etc.).
Acquire relevant knowledge, be updated, go to security conferences and be involved with the security community
  Responsibilities:
Work closely with and follow the professional guidance by the R&D Security Leader.
Report to R&D group manager.
  Requirements
6+ years of software development experience
3+ years in software security (security researcher/ security engineer / security architect)
Leading experience
Experience as a security architect in a development organization – an advantage
Vast knowledge and experience in the following:
Secure Software Development Life Cycle
Secure development and coding practices
Security testing and assurance
Security architecture and design
Severity assessment and Risk management
Threat Modeling
Security reviews for Code/Design/Architecture and requirements
Knowledge in the following:
Security standards and practices (OWASP, NIST, SANS, etc.)
Hardening procedures
Network and Network security
Must:
Leader, motivator and mentor
Think like a hacker
Fluent in English and Hebrew (speaking and writing), presentation and crowd-facing skills
Experience with Agile development
Advantage:
Security management certificates (CISSP, CSSLP, CISM, etc.)
Have lectured at security conferences (BlackHat, OWASP, etc.)
Security testing/research hands-on experience
  To learn more about CyberArk, visit https://www.cyberark.com, read the CyberArk blogs or follow on Twitter via @CyberArk, LinkedIn or Facebook.",  R&D,"Petah Tikva, Israel",https://careers.cyberark.com/job/Petah-Tikva-R&D-Security-Architect/659133001/
87,Senior Full Stack Engineer for Innovation Labs,Cyberark,"About CyberArk:
CyberArk (NASDAQ: CYBR), the global leader in Identity Security, Centered on privileged access management, CyberArk provides the most comprehensive security offering for any identity – human or machine – across business applications, distributed workforces, hybrid cloud workloads and throughout the DevOps lifecycle. The world’s leading organizations trust CyberArk to help secure their most critical assets. 
  Job Description:
Be part of analyzing, designing and developing a brand-new product from scratch in CyberArk’s elite unit – the Innovation Labs.
  Responsibilities:
Work in startup environment
Lead and own various development efforts in the group
Produce quality products that meet high security, stability and performance standards
Development mainly in – Java and Python 
  Job requirements:.
At least 4 years of experience in the software industry in Python
Excellent design and analytical skills
Experience working with continuous integration and continuous deployment pipeline
Experience in cloud environment (AWS, Azure, etc.) - an advantage
Experience with JavaScript, React or Angular 2 or higher
Proactive, highly motivated individual with a high work ethic and goal-oriented approach
Elite alumni graduate or Computer Science degree or similar experience
Excellent communication and presentation skills
Proven technical skills and self-learning ability, capable of thoroughly understanding the functional and technical aspects of a complex system
  To learn more about CyberArk, visit https://www.cyberark.com, read the CyberArk blogs or follow on Twitter via @CyberArk, LinkedIn or Facebook.",  R&D,"Petah Tikva, Israel",https://careers.cyberark.com/job/Petah-Tikva-Innovation-Software-Engineer/656502101/
